,filename,width,height,xmin,ymin,xmax,ymax,class
6494,VID_20210429_144011_frame_29760.jpg,1280,720,527,180,726,457,car
6583,VID_20210429_144011_frame_47400.jpg,1280,720,912,243,1280,536,car
4755,20210505_173347_frame_12990.jpg,1280,720,859,338,894,398,motorcycle
4875,20210505_173347_frame_1360.jpg,1280,720,522,350,665,611,motorcycle
5489,20210505_173347_frame_1740.jpg,1280,720,1143,329,1279,442,motorcycle
6980,VID_20210502_174603_frame_13390.jpg,1280,720,129,341,317,478,motorcycle
5203,20210505_173347_frame_15110.jpg,1280,720,426,312,514,530,person
850,20210501_150607_frame_4800.jpg,1280,720,331,289,494,408,car
1830,20210501_154632_frame_910.jpg,1280,720,235,325,338,386,motorcycle
1848,20210501_160847_frame_1660.jpg,1280,720,507,316,642,445,car
2489,20210501_162114_frame_10820.jpg,1280,720,685,347,883,448,car
3008,20210503_153255_frame_920.jpg,1280,720,432,342,480,426,person
6266,VID_20210429_144011_frame_17390.jpg,1280,720,284,312,361,535,person
4158,20210505_171959_frame_20.jpg,1280,720,696,320,723,386,motorcycle
2743,20210503_152226_frame_5570.jpg,1280,720,648,353,701,397,car
1831,20210501_154632_frame_9400.jpg,1280,720,1026,295,1280,450,car
2308,20210501_160847_frame_4950.jpg,1280,720,888,344,988,419,car
3745,20210505_165907_frame_17610.jpg,1280,720,669,296,761,398,car
523,20210501_150607_frame_1820.jpg,1280,720,974,254,1280,602,car
530,20210501_150607_frame_2450.jpg,1280,720,1035,284,1280,438,car
1406,20210501_154025_frame_4090.jpg,1280,720,417,351,508,407,motorcycle
3098,20210503_154550_frame_2440.jpg,1280,720,359,395,417,479,motorcycle
5122,20210505_173347_frame_1490.jpg,1280,720,562,284,702,503,person
4147,20210505_171959_frame_1890.jpg,1280,720,479,321,535,424,other vehicles
2199,20210501_160847_frame_4040.jpg,1280,720,632,351,676,379,car
2365,20210501_160847_frame_5840.jpg,1280,720,406,355,489,413,car
7221,VID_20210510_171657_frame_9810.jpg,1280,720,529,285,622,466,motorcycle
6855,VID_20210429_160703_frame_1200.jpg,1280,720,0,324,253,454,car
919,20210501_150607_frame_4920.jpg,1280,720,917,318,974,359,motorcycle
3366,20210503_154550_frame_970.jpg,1280,720,826,374,878,523,person
6462,VID_20210429_144011_frame_21440.jpg,1280,720,885,427,1042,536,motorcycle
4469,20210505_173347_frame_1090.jpg,1280,720,385,370,435,459,motorcycle
4943,20210505_173347_frame_1390.jpg,1280,720,908,332,950,390,person
5102,20210505_173347_frame_1480.jpg,1280,720,649,304,815,463,car
5428,20210505_173347_frame_170.jpg,1280,720,667,298,727,455,person
1274,20210501_154025_frame_1090.jpg,1280,720,1027,344,1130,497,motorcycle
4386,20210505_171959_frame_8820.jpg,1280,720,859,292,1003,414,car
6084,VID_20210429_144011_frame_1320.jpg,1280,720,898,296,1037,369,car
3293,20210503_154550_frame_6850.jpg,1280,720,577,375,610,429,motorcycle
4812,20210505_173347_frame_13250.jpg,1280,720,751,319,778,374,motorcycle
6454,VID_20210429_144011_frame_21130.jpg,1280,720,955,326,995,477,person
2490,20210501_162114_frame_10830.jpg,1280,720,631,379,782,468,motorcycle
561,20210501_150607_frame_30.jpg,1280,720,1024,289,1278,533,car
5972,VID_20210429_120705_frame_680.jpg,1920,1080,781,359,875,541,motorcycle
7033,VID_20210502_174603_frame_2530.jpg,1280,720,868,293,992,470,motorcycle
5025,20210505_173347_frame_14270.jpg,1280,720,662,315,745,385,car
2351,20210501_160847_frame_580.jpg,1280,720,635,344,684,394,car
294,20210501_150607_frame_12110.jpg,1280,720,0,226,300,643,car
2503,20210501_162114_frame_10890.jpg,1280,720,555,367,803,484,car
4304,20210505_171959_frame_5810.jpg,1280,720,815,333,851,401,motorcycle
4672,20210505_173347_frame_12610.jpg,1280,720,1035,307,1095,413,motorcycle
4240,20210505_171959_frame_380.jpg,1280,720,646,335,678,387,motorcycle
3198,20210503_154550_frame_4380.jpg,1280,720,502,366,527,397,car
4674,20210505_173347_frame_12630.jpg,1280,720,703,316,785,374,car
4594,20210505_173347_frame_1220.jpg,1280,720,1009,273,1065,437,person
5534,20210505_173347_frame_1780.jpg,1280,720,69,416,149,689,motorcycle
2960,20210503_153255_frame_7620.jpg,1280,720,905,338,1040,665,person
7113,VID_20210502_174603_frame_6170.jpg,1280,720,760,332,1132,595,motorcycle
1188,20210501_150607_frame_7290.jpg,1280,720,986,291,1280,490,car
4246,20210505_171959_frame_390.jpg,1280,720,644,333,682,393,motorcycle
6692,VID_20210429_155708_frame_5770.jpg,1280,720,591,292,660,350,car
5703,20210505_173347_frame_310.jpg,1280,720,963,336,1061,466,motorcycle
6483,VID_20210429_144011_frame_240.jpg,1280,720,356,133,628,658,person
711,20210501_150607_frame_4430.jpg,1280,720,1207,321,1272,505,person
1350,20210501_154025_frame_240.jpg,1280,720,566,369,982,632,motorcycle
3654,20210505_165907_frame_16960.jpg,1280,720,679,286,787,399,car
766,20210501_150607_frame_4590.jpg,1280,720,1021,290,1072,413,person
2762,20210503_153255_frame_19860.jpg,1280,720,672,400,736,507,motorcycle
4926,20210505_173347_frame_13830.jpg,1280,720,403,242,598,408,car
2479,20210501_162114_frame_10770.jpg,1280,720,755,363,862,437,motorcycle
7208,VID_20210510_171657_frame_8990.jpg,1280,720,1067,273,1127,386,person
5813,VID_20210429_120705_frame_1300.jpg,1920,1080,1004,275,1062,373,other vehicles
3467,20210505_165907_frame_11370.jpg,1280,720,910,288,1158,388,car
1132,20210501_150607_frame_6340.jpg,1280,720,824,314,854,393,person
3698,20210505_165907_frame_17190.jpg,1280,720,681,304,765,386,car
1944,20210501_160847_frame_2140.jpg,1280,720,485,334,565,406,car
2878,20210503_153255_frame_3020.jpg,1280,720,265,372,377,626,other vehicles
645,20210501_150607_frame_4290.jpg,1280,720,298,324,466,403,car
1443,20210501_154632_frame_1020.jpg,1280,720,512,296,588,367,car
5098,20210505_173347_frame_14780.jpg,1280,720,371,314,493,400,car
6548,VID_20210429_144011_frame_44290.jpg,1280,720,714,286,805,395,car
1948,20210501_160847_frame_2150.jpg,1280,720,366,334,451,401,car
3291,20210503_154550_frame_6830.jpg,1280,720,827,393,936,532,motorcycle
454,20210501_150607_frame_13600.jpg,1280,720,649,278,687,335,car
1528,20210501_154632_frame_1320.jpg,1280,720,603,305,656,355,car
5796,VID_20210429_120705_frame_1020.jpg,1920,1080,700,317,800,497,motorcycle
446,20210501_150607_frame_13530.jpg,1280,720,1141,299,1280,434,car
2542,20210501_162114_frame_13850.jpg,1280,720,1028,365,1132,481,other vehicles
5030,20210505_173347_frame_1430.jpg,1280,720,870,343,915,410,motorcycle
1114,20210501_150607_frame_6080.jpg,1280,720,697,303,731,358,motorcycle
1570,20210501_154632_frame_1440.jpg,1280,720,755,304,852,388,car
5623,20210505_173347_frame_1860.jpg,1280,720,961,281,1280,521,motorcycle
2840,20210503_153255_frame_22520.jpg,1280,720,971,318,1213,648,person
2649,20210503_152226_frame_1510.jpg,1280,720,610,350,664,469,motorcycle
3679,20210505_165907_frame_17070.jpg,1280,720,374,321,436,475,person
3419,20210505_165907_frame_10620.jpg,1280,720,751,325,842,496,motorcycle
2252,20210501_160847_frame_4700.jpg,1280,720,686,322,724,459,person
2332,20210501_160847_frame_5380.jpg,1280,720,608,340,671,386,car
3050,20210503_154550_frame_1420.jpg,1280,720,444,395,473,439,motorcycle
2903,20210503_153255_frame_4530.jpg,1280,720,916,392,1010,505,other vehicles
4184,20210505_171959_frame_310.jpg,1280,720,960,266,1040,435,person
4948,20210505_173347_frame_1390.jpg,1280,720,504,346,663,646,motorcycle
1460,20210501_154632_frame_1070.jpg,1280,720,627,315,676,358,car
2699,20210503_152226_frame_3760.jpg,1280,720,194,406,242,534,person
2882,20210503_153255_frame_3170.jpg,1280,720,103,397,206,517,motorcycle
205,20210501_150607_frame_11860.jpg,1280,720,497,285,649,419,car
673,20210501_150607_frame_4370.jpg,1280,720,773,292,818,449,person
782,20210501_150607_frame_4660.jpg,1280,720,819,339,854,386,motorcycle
3593,20210505_165907_frame_16770.jpg,1280,720,561,322,607,414,person
6520,VID_20210429_144011_frame_44100.jpg,1280,720,472,203,683,489,car
4633,20210505_173347_frame_12420.jpg,1280,720,612,323,694,392,car
4752,20210505_173347_frame_12970.jpg,1280,720,1084,310,1197,458,motorcycle
6060,VID_20210429_144011_frame_12660.jpg,1280,720,765,317,823,432,motorcycle
6257,VID_20210429_144011_frame_17260.jpg,1280,720,314,314,372,494,person
6199,VID_20210429_144011_frame_15360.jpg,1280,720,1002,376,1149,566,motorcycle
5989,VID_20210429_144011_frame_10110.jpg,1280,720,1051,308,1169,599,person
1308,20210501_154025_frame_1630.jpg,1280,720,336,312,387,418,person
5275,20210505_173347_frame_1560.jpg,1280,720,453,401,642,596,motorcycle
5724,20210505_173347_frame_610.jpg,1280,720,1038,370,1234,580,motorcycle
2077,20210501_160847_frame_2560.jpg,1280,720,109,353,336,491,car
5048,20210505_173347_frame_14400.jpg,1280,720,646,313,747,392,car
7006,VID_20210502_174603_frame_2260.jpg,1280,720,497,217,785,493,car
6985,VID_20210502_174603_frame_13720.jpg,1280,720,401,298,461,344,car
2482,20210501_162114_frame_1080.jpg,1280,720,841,387,967,491,motorcycle
5230,20210505_173347_frame_1530.jpg,1280,720,280,289,503,621,person
1412,20210501_154025_frame_4100.jpg,1280,720,395,341,489,425,motorcycle
952,20210501_150607_frame_4990.jpg,1280,720,601,330,658,420,motorcycle
3784,20210505_165907_frame_17920.jpg,1280,720,647,285,782,421,car
3850,20210505_165907_frame_18510.jpg,1280,720,682,299,774,393,car
3264,20210503_154550_frame_6160.jpg,1280,720,873,342,942,450,person
18,20210501_150607_frame_10210.jpg,1280,720,1005,293,1097,502,person
3285,20210503_154550_frame_6810.jpg,1280,720,677,385,714,430,motorcycle
2756,20210503_153255_frame_19830.jpg,1280,720,873,320,1039,589,person
7217,VID_20210510_171657_frame_9630.jpg,1280,720,1083,244,1266,508,person
4882,20210505_173347_frame_13630.jpg,1280,720,786,340,814,392,motorcycle
4199,20210505_171959_frame_340.jpg,1280,720,590,331,628,396,motorcycle
6207,VID_20210429_144011_frame_1630.jpg,1280,720,853,287,882,353,person
6332,VID_20210429_144011_frame_18630.jpg,1280,720,832,369,935,492,motorcycle
6818,VID_20210429_155708_frame_860.jpg,1280,720,275,305,364,549,person
4463,20210505_173347_frame_1090.jpg,1280,720,918,328,965,412,motorcycle
5899,VID_20210429_120705_frame_350.jpg,1920,1080,1210,188,1427,571,person
4433,20210505_173347_frame_10220.jpg,1280,720,857,321,888,373,motorcycle
6203,VID_20210429_144011_frame_16190.jpg,1280,720,701,348,725,399,motorcycle
6575,VID_20210429_144011_frame_46410.jpg,1280,720,239,354,399,513,other vehicles
6435,VID_20210429_144011_frame_20540.jpg,1280,720,713,355,795,425,car
6156,VID_20210429_144011_frame_14070.jpg,1280,720,652,338,716,393,car
6137,VID_20210429_144011_frame_13760.jpg,1280,720,851,334,925,387,car
1983,20210501_160847_frame_2260.jpg,1280,720,520,342,585,400,car
2985,20210503_153255_frame_860.jpg,1280,720,933,429,998,522,motorcycle
4602,20210505_173347_frame_12230.jpg,1280,720,656,315,743,388,car
2426,20210501_161529_frame_2710.jpg,1280,720,607,314,668,379,car
6233,VID_20210429_144011_frame_1680.jpg,1280,720,944,290,987,372,motorcycle
6810,VID_20210429_155708_frame_810.jpg,1280,720,398,315,445,451,person
5362,20210505_173347_frame_1630.jpg,1280,720,1157,318,1260,407,motorcycle
401,20210501_150607_frame_13350.jpg,1280,720,828,306,915,375,car
5795,VID_20210429_120705_frame_1020.jpg,1920,1080,963,324,1062,469,motorcycle
1178,20210501_150607_frame_7110.jpg,1280,720,634,299,688,352,car
6295,VID_20210429_144011_frame_18200.jpg,1280,720,707,227,878,436,car
3708,20210505_165907_frame_17290.jpg,1280,720,670,304,763,396,car
5398,20210505_173347_frame_1680.jpg,1280,720,136,293,360,679,person
1538,20210501_154632_frame_1350.jpg,1280,720,1203,320,1270,466,person
6798,VID_20210429_155708_frame_750.jpg,1280,720,388,320,471,410,car
6240,VID_20210429_144011_frame_1690.jpg,1280,720,939,284,995,377,person
3001,20210503_153255_frame_890.jpg,1280,720,1071,468,1202,656,motorcycle
6347,VID_20210429_144011_frame_18820.jpg,1280,720,614,313,712,404,car
5943,VID_20210429_120705_frame_5090.jpg,1920,1080,1237,717,1618,982,car
105,20210501_150607_frame_11410.jpg,1280,720,562,292,604,407,person
6312,VID_20210429_144011_frame_18390.jpg,1280,720,960,226,1270,706,car
813,20210501_150607_frame_4740.jpg,1280,720,681,314,709,339,car
3613,20210505_165907_frame_16830.jpg,1280,720,354,357,410,494,person
1756,20210501_154632_frame_1880.jpg,1280,720,972,293,1012,383,person
6167,VID_20210429_144011_frame_1430.jpg,1280,720,1027,277,1278,409,car
7121,VID_20210510_171657_frame_13460.jpg,1280,720,243,322,297,398,motorcycle
6223,VID_20210429_144011_frame_1660.jpg,1280,720,998,313,1060,400,motorcycle
4788,20210505_173347_frame_13130.jpg,1280,720,617,323,707,401,car
625,20210501_150607_frame_4170.jpg,1280,720,376,280,532,374,other vehicles
671,20210501_150607_frame_4360.jpg,1280,720,0,239,94,442,person
4337,20210505_171959_frame_650.jpg,1280,720,479,282,591,500,motorcycle
3231,20210503_154550_frame_50.jpg,1280,720,735,369,755,435,person
5139,20210505_173347_frame_14960.jpg,1280,720,558,339,627,379,motorcycle
7143,VID_20210510_171657_frame_2830.jpg,1280,720,724,295,757,413,person
6101,VID_20210429_144011_frame_13530.jpg,1280,720,624,321,719,424,car
6027,VID_20210429_144011_frame_11740.jpg,1280,720,499,340,600,426,car
181,20210501_150607_frame_11780.jpg,1280,720,862,287,929,398,person
1195,20210501_150607_frame_7670.jpg,1280,720,465,297,572,384,car
4918,20210505_173347_frame_1380.jpg,1280,720,1174,326,1258,387,motorcycle
4803,20210505_173347_frame_13200.jpg,1280,720,595,314,681,390,car
5562,20210505_173347_frame_1800.jpg,1280,720,1026,345,1173,537,motorcycle
1804,20210501_154632_frame_7760.jpg,1280,720,139,293,372,479,car
3958,20210505_165907_frame_21330.jpg,1280,720,878,270,938,451,person
5267,20210505_173347_frame_1550.jpg,1280,720,1090,340,1161,429,motorcycle
6832,VID_20210429_155708_frame_940.jpg,1280,720,791,331,911,504,motorcycle
1067,20210501_150607_frame_5750.jpg,1280,720,981,305,1031,349,car
4694,20210505_173347_frame_12720.jpg,1280,720,644,321,714,376,car
6772,VID_20210429_155708_frame_6820.jpg,1280,720,529,291,572,329,car
1989,20210501_160847_frame_2280.jpg,1280,720,511,333,573,391,car
6945,VID_20210502_174603_frame_11390.jpg,1280,720,618,303,686,400,motorcycle
4589,20210505_173347_frame_12160.jpg,1280,720,659,319,745,389,car
371,20210501_150607_frame_13240.jpg,1280,720,886,309,972,383,car
6265,VID_20210429_144011_frame_17390.jpg,1280,720,270,382,368,557,other vehicles
3527,20210505_165907_frame_12130.jpg,1280,720,575,325,628,422,motorcycle
6183,VID_20210429_144011_frame_14900.jpg,1280,720,575,344,609,367,car
4436,20210505_173347_frame_1060.jpg,1280,720,522,367,544,409,motorcycle
1253,20210501_150607_frame_9410.jpg,1280,720,999,278,1129,388,car
6073,VID_20210429_144011_frame_12720.jpg,1280,720,697,348,734,404,motorcycle
2544,20210501_162114_frame_13920.jpg,1280,720,931,367,1068,534,motorcycle
5477,20210505_173347_frame_1740.jpg,1280,720,901,329,928,393,motorcycle
3099,20210503_154550_frame_2440.jpg,1280,720,338,352,366,483,person
77,20210501_150607_frame_11120.jpg,1280,720,1175,275,1269,535,person
3460,20210505_165907_frame_11340.jpg,1280,720,851,291,1000,360,car
3448,20210505_165907_frame_10870.jpg,1280,720,525,331,654,564,motorcycle
6026,VID_20210429_144011_frame_11730.jpg,1280,720,335,374,425,445,motorcycle
3380,20210505_165907_frame_10030.jpg,1280,720,682,284,737,449,person
6212,VID_20210429_144011_frame_1640.jpg,1280,720,895,297,931,357,motorcycle
5156,20210505_173347_frame_150.jpg,1280,720,1017,334,1131,402,motorcycle
3882,20210505_165907_frame_18740.jpg,1280,720,649,302,721,380,car
2391,20210501_160847_frame_6370.jpg,1280,720,677,272,1072,541,car
4045,20210505_165907_frame_23920.jpg,1280,720,575,321,606,376,motorcycle
5261,20210505_173347_frame_15470.jpg,1280,720,479,333,561,407,car
2830,20210503_153255_frame_22080.jpg,1280,720,352,351,496,490,car
3521,20210505_165907_frame_12110.jpg,1280,720,600,321,649,403,motorcycle
3586,20210505_165907_frame_16730.jpg,1280,720,704,300,755,350,car
5627,20210505_173347_frame_1860.jpg,1280,720,706,316,753,421,motorcycle
641,20210501_150607_frame_4270.jpg,1280,720,307,323,430,405,car
2451,20210501_161529_frame_290.jpg,1280,720,394,334,427,418,person
4179,20210505_171959_frame_300.jpg,1280,720,600,333,630,385,motorcycle
6021,VID_20210429_144011_frame_11720.jpg,1280,720,565,342,643,405,car
1235,20210501_150607_frame_8810.jpg,1280,720,501,291,587,412,other vehicles
1484,20210501_154632_frame_1150.jpg,1280,720,1040,341,1280,544,car
6562,VID_20210429_144011_frame_44780.jpg,1280,720,708,285,943,468,car
6989,VID_20210502_174603_frame_13720.jpg,1280,720,845,300,927,386,motorcycle
923,20210501_150607_frame_4930.jpg,1280,720,1225,276,1280,471,person
135,20210501_150607_frame_11590.jpg,1280,720,595,305,650,354,car
6063,VID_20210429_144011_frame_1270.jpg,1280,720,872,302,976,364,car
4374,20210505_171959_frame_8610.jpg,1280,720,249,325,441,450,motorcycle
6090,VID_20210429_144011_frame_13430.jpg,1280,720,856,258,1280,590,car
2137,20210501_160847_frame_3160.jpg,1280,720,1158,337,1280,505,motorcycle
1238,20210501_150607_frame_9100.jpg,1280,720,797,313,833,374,motorcycle
5872,VID_20210429_120705_frame_3130.jpg,1920,1080,1192,362,1347,606,motorcycle
1637,20210501_154632_frame_1630.jpg,1280,720,1138,288,1174,401,person
1365,20210501_154025_frame_2720.jpg,1280,720,816,263,1093,462,car
3827,20210505_165907_frame_18330.jpg,1280,720,67,293,281,382,car
7233,VID_20210510_171657_frame_9850.jpg,1280,720,871,280,904,407,person
4493,20210505_173347_frame_11040.jpg,1280,720,840,309,880,338,car
6812,VID_20210429_155708_frame_830.jpg,1280,720,233,321,422,472,car
5119,20210505_173347_frame_1490.jpg,1280,720,32,291,313,667,person
3571,20210505_165907_frame_13620.jpg,1280,720,950,329,1057,483,motorcycle
3517,20210505_165907_frame_12100.jpg,1280,720,613,325,649,403,motorcycle
3568,20210505_165907_frame_13540.jpg,1280,720,910,337,987,444,motorcycle
4039,20210505_165907_frame_23880.jpg,1280,720,617,322,642,374,motorcycle
1846,20210501_160847_frame_1640.jpg,1280,720,504,320,637,449,car
5082,20210505_173347_frame_1460.jpg,1280,720,1111,334,1196,465,motorcycle
4313,20210505_171959_frame_590.jpg,1280,720,1157,331,1280,505,motorcycle
2206,20210501_160847_frame_4100.jpg,1280,720,663,339,718,386,car
1349,20210501_154025_frame_2390.jpg,1280,720,1119,297,1174,380,motorcycle
2794,20210503_153255_frame_20620.jpg,1280,720,0,365,318,503,car
169,20210501_150607_frame_11750.jpg,1280,720,0,229,246,449,car
5614,20210505_173347_frame_1850.jpg,1280,720,692,310,747,430,person
5369,20210505_173347_frame_1660.jpg,1280,720,367,379,442,478,motorcycle
3856,20210505_165907_frame_18550.jpg,1280,720,845,322,886,406,motorcycle
1474,20210501_154632_frame_1110.jpg,1280,720,270,253,503,431,car
5059,20210505_173347_frame_1450.jpg,1280,720,625,297,827,483,car
806,20210501_150607_frame_4730.jpg,1280,720,601,332,672,471,motorcycle
2984,20210503_153255_frame_860.jpg,1280,720,1159,465,1280,649,other vehicles
2384,20210501_160847_frame_600.jpg,1280,720,671,326,748,406,car
3223,20210503_154550_frame_4590.jpg,1280,720,714,379,734,420,motorcycle
2493,20210501_162114_frame_10840.jpg,1280,720,638,348,853,447,car
2795,20210503_153255_frame_20630.jpg,1280,720,10,352,206,558,car
1900,20210501_160847_frame_1960.jpg,1280,720,490,328,600,432,car
4393,20210505_171959_frame_8850.jpg,1280,720,186,297,401,385,car
7164,VID_20210510_171657_frame_6890.jpg,1280,720,996,195,1206,595,person
4383,20210505_171959_frame_880.jpg,1280,720,812,323,848,406,motorcycle
6502,VID_20210429_144011_frame_38750.jpg,1280,720,495,352,550,458,motorcycle
4927,20210505_173347_frame_13830.jpg,1280,720,633,321,711,387,car
5847,VID_20210429_120705_frame_2720.jpg,1920,1080,1564,260,1755,545,motorcycle
4955,20210505_173347_frame_13920.jpg,1280,720,458,333,542,407,car
4957,20210505_173347_frame_13930.jpg,1280,720,619,323,710,398,car
4037,20210505_165907_frame_23860.jpg,1280,720,648,322,677,388,motorcycle
860,20210501_150607_frame_4820.jpg,1280,720,603,324,641,390,motorcycle
2517,20210501_162114_frame_10950.jpg,1280,720,121,357,483,541,car
5811,VID_20210429_120705_frame_1300.jpg,1920,1080,553,157,767,556,person
5001,20210505_173347_frame_1410.jpg,1280,720,940,329,985,401,motorcycle
2592,20210501_162114_frame_16450.jpg,1280,720,526,320,587,352,car
6482,VID_20210429_144011_frame_2280.jpg,1280,720,657,344,684,371,car
4580,20210505_173347_frame_1210.jpg,1280,720,180,323,239,532,person
5176,20210505_173347_frame_15030.jpg,1280,720,176,392,338,487,motorcycle
58,20210501_150607_frame_10610.jpg,1280,720,544,299,610,364,car
3833,20210505_165907_frame_18380.jpg,1280,720,671,304,764,400,car
297,20210501_150607_frame_12180.jpg,1280,720,753,309,775,338,car
4329,20210505_171959_frame_6260.jpg,1280,720,1128,352,1260,447,motorcycle
2290,20210501_160847_frame_4800.jpg,1280,720,930,303,974,448,person
2630,20210503_152226_frame_14450.jpg,1280,720,986,332,1090,563,person
6527,VID_20210429_144011_frame_44130.jpg,1280,720,1091,379,1168,490,other vehicles
5140,20210505_173347_frame_14960.jpg,1280,720,794,327,872,377,motorcycle
6697,VID_20210429_155708_frame_5910.jpg,1280,720,166,326,242,411,motorcycle
6685,VID_20210429_144011_frame_6960.jpg,1280,720,1160,367,1218,556,person
1328,20210501_154025_frame_200.jpg,1280,720,577,341,1000,608,motorcycle
6325,VID_20210429_144011_frame_18450.jpg,1280,720,709,356,743,423,motorcycle
2943,20210503_153255_frame_6920.jpg,1280,720,849,394,961,571,motorcycle
217,20210501_150607_frame_1190.jpg,1280,720,1101,270,1280,415,car
3606,20210505_165907_frame_16810.jpg,1280,720,614,306,684,376,car
3238,20210503_154550_frame_5180.jpg,1280,720,732,350,906,489,car
817,20210501_150607_frame_4750.jpg,1280,720,686,312,718,338,car
5783,VID_20210429_120705_frame_10.jpg,1920,1080,1257,369,1530,781,motorcycle
4505,20210505_173347_frame_1110.jpg,1280,720,229,414,326,533,motorcycle
1672,20210501_154632_frame_1710.jpg,1280,720,522,288,618,378,car
7184,VID_20210510_171657_frame_8690.jpg,1280,720,459,285,490,383,person
1811,20210501_154632_frame_7810.jpg,1280,720,0,239,332,527,car
1136,20210501_150607_frame_6340.jpg,1280,720,173,264,292,504,person
2381,20210501_160847_frame_5910.jpg,1280,720,2,424,176,671,motorcycle
1457,20210501_154632_frame_1060.jpg,1280,720,464,297,565,387,car
5434,20210505_173347_frame_1700.jpg,1280,720,601,304,711,414,car
2066,20210501_160847_frame_2500.jpg,1280,720,270,323,350,505,person
2588,20210501_162114_frame_16410.jpg,1280,720,1105,369,1279,604,motorcycle
4719,20210505_173347_frame_1280.jpg,1280,720,643,310,686,438,motorcycle
6387,VID_20210429_144011_frame_19000.jpg,1280,720,24,178,381,523,car
3126,20210503_154550_frame_3020.jpg,1280,720,1026,373,1159,480,motorcycle
1240,20210501_150607_frame_9200.jpg,1280,720,856,317,984,407,car
2146,20210501_160847_frame_330.jpg,1280,720,845,352,937,426,motorcycle
4883,20210505_173347_frame_13630.jpg,1280,720,617,326,705,408,car
6938,VID_20210502_174603_frame_11130.jpg,1280,720,282,302,339,397,motorcycle
2341,20210501_160847_frame_5630.jpg,1280,720,728,343,806,398,car
5768,20210505_173347_frame_760.jpg,1280,720,1021,306,1071,444,motorcycle
495,20210501_150607_frame_1560.jpg,1280,720,0,269,131,452,car
5682,20210505_173347_frame_3040.jpg,1280,720,694,329,729,411,motorcycle
3029,20210503_154550_frame_1000.jpg,1280,720,199,402,335,513,motorcycle
3026,20210503_154550_frame_100.jpg,1280,720,995,429,1199,642,motorcycle
3754,20210505_165907_frame_17680.jpg,1280,720,641,285,757,406,car
6256,VID_20210429_144011_frame_17250.jpg,1280,720,414,326,451,454,person
445,20210501_150607_frame_13520.jpg,1280,720,666,266,727,352,car
245,20210501_150607_frame_11960.jpg,1280,720,593,292,638,367,car
2665,20210503_152226_frame_16230.jpg,1280,720,432,348,499,541,person
3972,20210505_165907_frame_21960.jpg,1280,720,553,330,600,406,motorcycle
6638,VID_20210429_144011_frame_49210.jpg,1280,720,687,329,721,358,car
4613,20210505_173347_frame_1230.jpg,1280,720,700,315,773,379,car
4003,20210505_165907_frame_22900.jpg,1280,720,0,131,328,492,car
2570,20210501_162114_frame_14320.jpg,1280,720,863,350,1003,565,motorcycle
2703,20210503_152226_frame_3770.jpg,1280,720,1137,356,1280,469,motorcycle
5455,20210505_173347_frame_1720.jpg,1280,720,826,355,987,631,motorcycle
1520,20210501_154632_frame_130.jpg,1280,720,1031,326,1157,415,car
1125,20210501_150607_frame_6110.jpg,1280,720,539,298,598,353,car
663,20210501_150607_frame_4350.jpg,1280,720,665,280,1280,668,car
537,20210501_150607_frame_2620.jpg,1280,720,809,291,891,359,car
4985,20210505_173347_frame_14000.jpg,1280,720,2,429,165,672,car
3525,20210505_165907_frame_12130.jpg,1280,720,384,312,424,435,person
1990,20210501_160847_frame_2290.jpg,1280,720,824,269,920,530,person
5510,20210505_173347_frame_1760.jpg,1280,720,867,320,930,420,motorcycle
5029,20210505_173347_frame_1430.jpg,1280,720,479,257,670,611,person
4309,20210505_171959_frame_5840.jpg,1280,720,1008,267,1144,487,person
3280,20210503_154550_frame_6790.jpg,1280,720,582,367,656,496,motorcycle
719,20210501_150607_frame_4450.jpg,1280,720,843,294,977,415,car
1605,20210501_154632_frame_1530.jpg,1280,720,595,305,657,362,car
2328,20210501_160847_frame_530.jpg,1280,720,644,340,677,378,car
150,20210501_150607_frame_11660.jpg,1280,720,512,299,586,366,car
6803,VID_20210429_155708_frame_770.jpg,1280,720,431,312,467,429,person
3651,20210505_165907_frame_16940.jpg,1280,720,912,343,983,452,motorcycle
3938,20210505_165907_frame_2070.jpg,1280,720,516,298,652,348,car
2525,20210501_162114_frame_13160.jpg,1280,720,751,325,791,471,person
3351,20210503_154550_frame_8370.jpg,1280,720,761,375,793,444,motorcycle
6293,VID_20210429_144011_frame_18200.jpg,1280,720,929,365,1014,501,motorcycle
5912,VID_20210429_120705_frame_460.jpg,1920,1080,1173,101,1579,673,person
2646,20210503_152226_frame_15030.jpg,1280,720,88,402,245,527,motorcycle
462,20210501_150607_frame_13700.jpg,1280,720,1164,351,1278,496,motorcycle
6958,VID_20210502_174603_frame_1160.jpg,1280,720,214,318,371,489,motorcycle
6539,VID_20210429_144011_frame_44240.jpg,1280,720,679,308,734,379,car
3765,20210505_165907_frame_17790.jpg,1280,720,626,290,761,423,car
1410,20210501_154025_frame_410.jpg,1280,720,397,300,554,505,motorcycle
5218,20210505_173347_frame_1520.jpg,1280,720,1145,336,1226,411,motorcycle
2910,20210503_153255_frame_4560.jpg,1280,720,1118,417,1280,599,other vehicles
5717,20210505_173347_frame_5540.jpg,1280,720,684,333,741,406,motorcycle
3904,20210505_165907_frame_19320.jpg,1280,720,876,429,958,542,other vehicles
877,20210501_150607_frame_4860.jpg,1280,720,593,309,626,335,car
